"","Model","Quantity","Year","Month"
"152","ALPINA B5","11","2011","01"
"153","AUDI A6, S6, RS6, A7","2364","2011","01"
"154","BMW 5ER","5278","2011","01"
"155","CHRYSLER 300C","22","2011","01"
"156","CITROEN C6","13","2011","01"
"157","JAGUAR XF","102","2011","01"
"158","MERCEDES E-KLASSE","2825","2011","01"
"159","RENAULT LATITUDE","27","2011","01"
"160","SAAB 9-5","36","2011","01"
"161","VOLVO 70","297","2011","01"
"162","VOLVO 80","13","2011","01"
"163","SONSTIGE","5","2011","01"
"164",NA,NA,"2011","01"
"165","ZUSAMMEN","11000","2011","01"
"166",NA,NA,"2011","01"
"167",NA,NA,"2011","01"
"168","OBERKLASSE",NA,"2011","01"
"169",NA,NA,"2011","01"
"170","ALPINA B7 BITURBO","1","2011","01"
"171","AUDI A8, S8","496","2011","01"
"172","BENTLEY CONTINENTAL","17","2011","01"
"173","BENTLEY MULSANNE","5","2011","01"
"174","BMW 6ER","73","2011","01"
"175","BMW 7ER","703","2011","01"
"176","GM CADILLAC CTS","4","2011","01"
"177","JAGUAR XJ","46","2011","01"
"178","MASERATI QUATTROPORTE","9","2011","01"
"179","MAYBACH","1","2011","01"
"180","MERCEDES CL-KLASSE","46","2011","01"
"181","MERCEDES CLS","445","2011","01"
"182","MERCEDES S-KLASSE","189","2011","01"
"183","PORSCHE PANAMERA","147","2011","01"
"184","ROLLS ROYCE GHOST","2","2011","01"
"185","VW PHAETON","143","2011","01"
"186","SONSTIGE","-","2011","01"
"187",NA,NA,"2011","01"
"188","ZUSAMMEN","2327","2011","01"
"189",NA,NA,"2011","01"
"190",NA,NA,"2011","01"
"191","GELÄNDEWAGEN",NA,"2011","01"
"192",NA,NA,"2011","01"
"193","AUDI Q5","1813","2011","01"
"194","AUDI Q7","272","2011","01"
"195","BMW X1","2318","2011","01"
"196","BMW X3","959","2011","01"
"197","BMW X5","532","2011","01"
"198","BMW X6","304","2011","01"
"199","CHEVROLET CAPTIVA","72","2011","01"
"200","CITROEN C-CROSSER","66","2011","01"
"201","DACIA DUSTER","2024","2011","01"
"202","DAIHATSU TERIOS","62","2011","01"
"203","DODGE NITRO","8","2011","01"
"204","FIAT SEDICI","199","2011","01"
"205","FORD KUGA","1050","2011","01"
"206","GM CADILLAC ESCALADE","8","2011","01"
"207","HONDA CR-V","366","2011","01"
"208","HYUNDAI IX 35","737","2011","01"
"209","HYUNDAI IX 55","31","2011","01"
"210","HYUNDAI SANTA FE","99","2011","01"
"211","INFINITI EX37","7","2011","01"
"212","INFINITI FX","27","2011","01"
"213","JEEP CHEROKEE","23","2011","01"
"214","JEEP GRAND CHEROKEE","47","2011","01"
"215","JEEP PATRIOT","62","2011","01"
