"","Year","Month","Class","Quantity"
"655",2014,11,"SMALL_CARS",78654
"660",2014,12,"SMALL_CARS",67596
"600",2015,1,"SMALL_CARS",59058
"606",2015,2,"SMALL_CARS",67448
"612",2015,3,"SMALL_CARS",98242
"618",2015,4,"SMALL_CARS",84034
"624",2015,5,"SMALL_CARS",73882
"630",2015,6,"SMALL_CARS",98026
"636",2015,7,"SMALL_CARS",78892
"641",2015,8,"SMALL_CARS",59666
"646",2015,9,"SMALL_CARS",79222
"651",2015,10,"SMALL_CARS",79230
"656",2015,11,"SMALL_CARS",84482
"661",2015,12,"SMALL_CARS",74994
"601",2016,1,"SMALL_CARS",62980
"607",2016,2,"SMALL_CARS",72080
"613",2016,3,"SMALL_CARS",90694
"619",2016,4,"SMALL_CARS",90906
"625",2016,5,"SMALL_CARS",85936
"631",2016,6,"SMALL_CARS",94006
"662",2011,1,"SPORTS_CARS",5042
"668",2011,2,"SPORTS_CARS",5546
"674",2011,3,"SPORTS_CARS",13096
"680",2011,4,"SPORTS_CARS",11832
"686",2011,5,"SPORTS_CARS",11062
"692",2011,6,"SPORTS_CARS",9878
"698",2011,7,"SPORTS_CARS",8128
"703",2011,8,"SPORTS_CARS",7810
"708",2011,9,"SPORTS_CARS",7966
"713",2011,10,"SPORTS_CARS",6120
"718",2011,11,"SPORTS_CARS",5142
"723",2011,12,"SPORTS_CARS",4904
"663",2012,1,"SPORTS_CARS",5506
"669",2012,2,"SPORTS_CARS",5698
"675",2012,3,"SPORTS_CARS",12306
"681",2012,4,"SPORTS_CARS",10776
"687",2012,5,"SPORTS_CARS",10520
"693",2012,6,"SPORTS_CARS",9924
"699",2012,7,"SPORTS_CARS",7520
"704",2012,8,"SPORTS_CARS",5752
"709",2012,9,"SPORTS_CARS",6072
"714",2012,10,"SPORTS_CARS",5070
"719",2012,11,"SPORTS_CARS",4806
"724",2012,12,"SPORTS_CARS",3678
"664",2013,1,"SPORTS_CARS",4658
"670",2013,2,"SPORTS_CARS",5346
"676",2013,3,"SPORTS_CARS",10090
"682",2013,4,"SPORTS_CARS",10590
"688",2013,5,"SPORTS_CARS",9550
"694",2013,6,"SPORTS_CARS",8996
"700",2013,7,"SPORTS_CARS",7118
"705",2013,8,"SPORTS_CARS",5744
"710",2013,9,"SPORTS_CARS",5214
"715",2013,10,"SPORTS_CARS",4786
"720",2013,11,"SPORTS_CARS",4420
"725",2013,12,"SPORTS_CARS",3672
"665",2014,1,"SPORTS_CARS",5382
"671",2014,2,"SPORTS_CARS",5370
"677",2014,3,"SPORTS_CARS",9330
"683",2014,4,"SPORTS_CARS",9936
"689",2014,5,"SPORTS_CARS",7870
"695",2014,6,"SPORTS_CARS",6436
"701",2014,7,"SPORTS_CARS",6462
"706",2014,8,"SPORTS_CARS",4604
"711",2014,9,"SPORTS_CARS",5312
"716",2014,10,"SPORTS_CARS",5450
"721",2014,11,"SPORTS_CARS",4154
"726",2014,12,"SPORTS_CARS",3470
"666",2015,1,"SPORTS_CARS",5256
"672",2015,2,"SPORTS_CARS",4674
"678",2015,3,"SPORTS_CARS",10594
"684",2015,4,"SPORTS_CARS",8710
"690",2015,5,"SPORTS_CARS",8510
"696",2015,6,"SPORTS_CARS",9428
"702",2015,7,"SPORTS_CARS",8330
"707",2015,8,"SPORTS_CARS",6254
"712",2015,9,"SPORTS_CARS",6458
"717",2015,10,"SPORTS_CARS",6164
"722",2015,11,"SPORTS_CARS",5022
"727",2015,12,"SPORTS_CARS",3510
"667",2016,1,"SPORTS_CARS",7236
"673",2016,2,"SPORTS_CARS",6668
"679",2016,3,"SPORTS_CARS",10040
"685",2016,4,"SPORTS_CARS",10938
"691",2016,5,"SPORTS_CARS",8280
"697",2016,6,"SPORTS_CARS",8834
"728",2013,1,"SUVs",29976
"732",2013,2,"SUVs",30526
"736",2013,3,"SUVs",45594
"740",2013,4,"SUVs",39312
"744",2013,5,"SUVs",40182
"748",2013,6,"SUVs",47630
"752",2013,7,"SUVs",39974
"755",2013,8,"SUVs",38382
"758",2013,9,"SUVs",46828
"761",2013,10,"SUVs",46150
"764",2013,11,"SUVs",43038
"767",2013,12,"SUVs",44658
"729",2014,1,"SUVs",40886
"733",2014,2,"SUVs",39082
"737",2014,3,"SUVs",57566
"741",2014,4,"SUVs",49540
"745",2014,5,"SUVs",52288
"749",2014,6,"SUVs",54638
"753",2014,7,"SUVs",48486
"756",2014,8,"SUVs",44496
"759",2014,9,"SUVs",51326
"762",2014,10,"SUVs",52768
"765",2014,11,"SUVs",55606
"768",2014,12,"SUVs",46746
"730",2015,1,"SUVs",43062
"734",2015,2,"SUVs",47454
"738",2015,3,"SUVs",67400
"742",2015,4,"SUVs",58184
"746",2015,5,"SUVs",51096
"750",2015,6,"SUVs",69526
"754",2015,7,"SUVs",56924
"757",2015,8,"SUVs",50772
"760",2015,9,"SUVs",58706
"763",2015,10,"SUVs",59478
"766",2015,11,"SUVs",61360
"769",2015,12,"SUVs",57448
"731",2016,1,"SUVs",51990
"735",2016,2,"SUVs",62124
"739",2016,3,"SUVs",79628
"743",2016,4,"SUVs",72322
"747",2016,5,"SUVs",71398
"751",2016,6,"SUVs",85706
"770",2011,1,"UTILITIES",18390
"776",2011,2,"UTILITIES",17668
"782",2011,3,"UTILITIES",24012
"788",2011,4,"UTILITIES",22632
"794",2011,5,"UTILITIES",26878
"800",2011,6,"UTILITIES",24378
"806",2011,7,"UTILITIES",23142
"811",2011,8,"UTILITIES",20614
"816",2011,9,"UTILITIES",20862
"821",2011,10,"UTILITIES",18170
"826",2011,11,"UTILITIES",22260
"831",2011,12,"UTILITIES",20908
"771",2012,1,"UTILITIES",18980
"777",2012,2,"UTILITIES",19582
"783",2012,3,"UTILITIES",24966
"789",2012,4,"UTILITIES",21868
"795",2012,5,"UTILITIES",25114
"801",2012,6,"UTILITIES",24252
"807",2012,7,"UTILITIES",21300
"812",2012,8,"UTILITIES",17760
"817",2012,9,"UTILITIES",18650
"822",2012,10,"UTILITIES",17952
"827",2012,11,"UTILITIES",17792
"832",2012,12,"UTILITIES",16162
"772",2013,1,"UTILITIES",15618
"778",2013,2,"UTILITIES",14982
"784",2013,3,"UTILITIES",20452
"790",2013,4,"UTILITIES",22442
"796",2013,5,"UTILITIES",22526
"802",2013,6,"UTILITIES",23434
"808",2013,7,"UTILITIES",21426
"813",2013,8,"UTILITIES",17690
"818",2013,9,"UTILITIES",18020
"823",2013,10,"UTILITIES",20682
"828",2013,11,"UTILITIES",20164
"833",2013,12,"UTILITIES",20626
"773",2014,1,"UTILITIES",17148
"779",2014,2,"UTILITIES",16416
"785",2014,3,"UTILITIES",22386
"791",2014,4,"UTILITIES",21796
"797",2014,5,"UTILITIES",23540
"803",2014,6,"UTILITIES",22728
"809",2014,7,"UTILITIES",23092
"814",2014,8,"UTILITIES",18068
"819",2014,9,"UTILITIES",18796
"824",2014,10,"UTILITIES",21114
"829",2014,11,"UTILITIES",19504
"834",2014,12,"UTILITIES",22004
"774",2015,1,"UTILITIES",17502
"780",2015,2,"UTILITIES",18268
"786",2015,3,"UTILITIES",25256
"792",2015,4,"UTILITIES",23932
"798",2015,5,"UTILITIES",22324
"804",2015,6,"UTILITIES",23886
"810",2015,7,"UTILITIES",21386
"815",2015,8,"UTILITIES",20496
"820",2015,9,"UTILITIES",17276
"825",2015,10,"UTILITIES",22442
"830",2015,11,"UTILITIES",23834
"835",2015,12,"UTILITIES",22936
"775",2016,1,"UTILITIES",19754
"781",2016,2,"UTILITIES",22016
"787",2016,3,"UTILITIES",26564
"793",2016,4,"UTILITIES",25826
"799",2016,5,"UTILITIES",24236
"805",2016,6,"UTILITIES",28156
