"","Year","Month","Class","Quantity"
"101",2015,6,"EXECUTIVE_CARS",20068
"107",2015,7,"EXECUTIVE_CARS",22340
"112",2015,8,"EXECUTIVE_CARS",15690
"117",2015,9,"EXECUTIVE_CARS",17698
"122",2015,10,"EXECUTIVE_CARS",21132
"127",2015,11,"EXECUTIVE_CARS",20174
"132",2015,12,"EXECUTIVE_CARS",16078
"72",2016,1,"EXECUTIVE_CARS",13440
"78",2016,2,"EXECUTIVE_CARS",17714
"84",2016,3,"EXECUTIVE_CARS",22706
"90",2016,4,"EXECUTIVE_CARS",25274
"96",2016,5,"EXECUTIVE_CARS",20266
"102",2016,6,"EXECUTIVE_CARS",21462
"133",2011,1,"LARGE_VANS",25926
"139",2011,2,"LARGE_VANS",23974
"145",2011,3,"LARGE_VANS",34070
"151",2011,4,"LARGE_VANS",26530
"157",2011,5,"LARGE_VANS",28648
"163",2011,6,"LARGE_VANS",27868
"169",2011,7,"LARGE_VANS",29624
"174",2011,8,"LARGE_VANS",22836
"179",2011,9,"LARGE_VANS",30060
"184",2011,10,"LARGE_VANS",26080
"189",2011,11,"LARGE_VANS",24676
"194",2011,12,"LARGE_VANS",23616
"134",2012,1,"LARGE_VANS",25206
"140",2012,2,"LARGE_VANS",23640
"146",2012,3,"LARGE_VANS",37030
"152",2012,4,"LARGE_VANS",30002
"158",2012,5,"LARGE_VANS",29364
"164",2012,6,"LARGE_VANS",32326
"170",2012,7,"LARGE_VANS",28062
"175",2012,8,"LARGE_VANS",20732
"180",2012,9,"LARGE_VANS",22428
"185",2012,10,"LARGE_VANS",24754
"190",2012,11,"LARGE_VANS",25040
"195",2012,12,"LARGE_VANS",17668
"135",2013,1,"LARGE_VANS",16978
"141",2013,2,"LARGE_VANS",17718
"147",2013,3,"LARGE_VANS",21148
"153",2013,4,"LARGE_VANS",24270
"159",2013,5,"LARGE_VANS",25452
"165",2013,6,"LARGE_VANS",28344
"171",2013,7,"LARGE_VANS",24714
"176",2013,8,"LARGE_VANS",15256
"181",2013,9,"LARGE_VANS",19702
"186",2013,10,"LARGE_VANS",24354
"191",2013,11,"LARGE_VANS",23520
"196",2013,12,"LARGE_VANS",18462
"136",2014,1,"LARGE_VANS",21152
"142",2014,2,"LARGE_VANS",20356
"148",2014,3,"LARGE_VANS",28728
"154",2014,4,"LARGE_VANS",27934
"160",2014,5,"LARGE_VANS",29578
"166",2014,6,"LARGE_VANS",25082
"172",2014,7,"LARGE_VANS",27678
"177",2014,8,"LARGE_VANS",17402
"182",2014,9,"LARGE_VANS",19396
"187",2014,10,"LARGE_VANS",24374
"192",2014,11,"LARGE_VANS",24930
"197",2014,12,"LARGE_VANS",22674
"137",2015,1,"LARGE_VANS",19160
"143",2015,2,"LARGE_VANS",17460
"149",2015,3,"LARGE_VANS",26940
"155",2015,4,"LARGE_VANS",24866
"161",2015,5,"LARGE_VANS",23244
"167",2015,6,"LARGE_VANS",27382
"173",2015,7,"LARGE_VANS",23870
"178",2015,8,"LARGE_VANS",13308
