"","Model","Quantity","Year","Month","Class"
"3451","TOYOTA IQ",138,2011,10,"MINIS"
"3452","VW FOX",210,2011,10,"MINIS"
"3453","VW UP",14,2011,10,"MINIS"
"3454","OTHER_MODEL",1,2011,10,"MINIS"
"3455","ZUSAMMEN",15026,2011,10,"MINIS"
"3457","ALFA MITO",113,2011,10,"SMALL_CARS"
"3458","AUDI A1, S1",2977,2011,10,"SMALL_CARS"
"3459","BMW MINI",3384,2011,10,"SMALL_CARS"
"3460","CHEVROLET KALOS, AVEO",1212,2011,10,"SMALL_CARS"
"3461","CITROEN C2",0,2011,10,"SMALL_CARS"
"3462","CITROEN C3",751,2011,10,"SMALL_CARS"
"3463","CITROEN DS3",551,2011,10,"SMALL_CARS"
"3464","DAIHATSU COPEN",3,2011,10,"SMALL_CARS"
"3465","DAIHATSU MATERIA",14,2011,10,"SMALL_CARS"
"3466","DAIHATSU SIRION",124,2011,10,"SMALL_CARS"
"3467","FIAT PUNTO",1557,2011,10,"SMALL_CARS"
"3468","FORD FIESTA",5023,2011,10,"SMALL_CARS"
"3469","FORD FUSION",248,2011,10,"SMALL_CARS"
"3470","HONDA INSIGHT",2,2011,10,"SMALL_CARS"
"3471","HONDA JAZZ",979,2011,10,"SMALL_CARS"
"3472","HYUNDAI GETZ",1,2011,10,"SMALL_CARS"
"3473","HYUNDAI I 20",661,2011,10,"SMALL_CARS"
"3474","KIA PICANTO",828,2011,10,"SMALL_CARS"
"3475","KIA VENGA",470,2011,10,"SMALL_CARS"
"3476","MAZDA 2",710,2011,10,"SMALL_CARS"
"3477","MITSUBISHI COLT",665,2011,10,"SMALL_CARS"
"3478","NISSAN JUKE",866,2011,10,"SMALL_CARS"
"3479","NISSAN MICRA",1583,2011,10,"SMALL_CARS"
"3480","OPEL CORSA",5036,2011,10,"SMALL_CARS"
"3481","PEUGEOT 206",749,2011,10,"SMALL_CARS"
"3482","PEUGEOT 207",1478,2011,10,"SMALL_CARS"
"3483","RENAULT CLIO",1590,2011,10,"SMALL_CARS"
"3484","RENAULT WIND",77,2011,10,"SMALL_CARS"
"3485","SEAT IBIZA, CORDOBA",2800,2011,10,"SMALL_CARS"
"3486","SKODA FABIA",3764,2011,10,"SMALL_CARS"
"3487","SUBARU JUSTY",0,2011,10,"SMALL_CARS"
"3488","SUZUKI SWIFT",1036,2011,10,"SMALL_CARS"
"3489","SUZUKI SX4",597,2011,10,"SMALL_CARS"
"3490","TOYOTA YARIS, DAIHATSU CHARADE",1468,2011,10,"SMALL_CARS"
"3491","VW POLO",7278,2011,10,"SMALL_CARS"
"3492","OTHER_MODEL",0,2011,10,"SMALL_CARS"
"3493","ZUSAMMEN",48595,2011,10,"SMALL_CARS"
"3495","ALFA GIULIETTA",439,2011,10,"COMPACT_CARS"
"3496","ALFA 147, GT",4,2011,10,"COMPACT_CARS"
"3497","AUDI A3, S3, RS3",4988,2011,10,"COMPACT_CARS"
"3498","BMW 1ER",4472,2011,10,"COMPACT_CARS"
"3499","CHEVROLET CRUZE",352,2011,10,"COMPACT_CARS"
"3500","CHEVROLET NUBIRA",3,2011,10,"COMPACT_CARS"
"3501","CITROEN C4",1122,2011,10,"COMPACT_CARS"
"3502","CITROEN DS4",211,2011,10,"COMPACT_CARS"
"3503","DACIA LOGAN",717,2011,10,"COMPACT_CARS"
"3504","DACIA SANDERO",1213,2011,10,"COMPACT_CARS"
"3505","DODGE CALIBER",2,2011,10,"COMPACT_CARS"
"3506","FIAT BRAVO, BRAVA",105,2011,10,"COMPACT_CARS"
"3507","FORD FOCUS",4589,2011,10,"COMPACT_CARS"
"3508","GM CHEVROLET VOLT",1,2011,10,"COMPACT_CARS"
"3509","HONDA CIVIC",695,2011,10,"COMPACT_CARS"
"3510","HYUNDAI I 30",2018,2011,10,"COMPACT_CARS"
"3511","KIA CEED",1040,2011,10,"COMPACT_CARS"
"3512","KIA RIO",703,2011,10,"COMPACT_CARS"
"3513","LADA 1118",11,2011,10,"COMPACT_CARS"
"3514","LADA 2170",4,2011,10,"COMPACT_CARS"
"3515","LANCIA DELTA",31,2011,10,"COMPACT_CARS"
"3516","LEXUS CT",141,2011,10,"COMPACT_CARS"
"3517","MAZDA MX-5",103,2011,10,"COMPACT_CARS"
"3518","MAZDA 3",947,2011,10,"COMPACT_CARS"
"3519","MERCEDES A-KLASSE",6036,2011,10,"COMPACT_CARS"
"3520","MITSUBISHI LANCER",228,2011,10,"COMPACT_CARS"
"3521","NISSAN TIIDA",1,2011,10,"COMPACT_CARS"
"3522","OPEL AMPERA",12,2011,10,"COMPACT_CARS"
"3523","OPEL ASTRA",6636,2011,10,"COMPACT_CARS"
"3524","PEUGEOT 308",1739,2011,10,"COMPACT_CARS"
"3525","RENAULT FLUENCE",28,2011,10,"COMPACT_CARS"
"3526","RENAULT MEGANE",1834,2011,10,"COMPACT_CARS"
"3527","SKODA OCTAVIA",4152,2011,10,"COMPACT_CARS"
"3528","SUBARU IMPREZA",26,2011,10,"COMPACT_CARS"
"3529","TOYOTA AURIS",1056,2011,10,"COMPACT_CARS"
"3530","TOYOTA PRIUS",123,2011,10,"COMPACT_CARS"
"3531","TOYOTA VERSO",608,2011,10,"COMPACT_CARS"
"3532","VOLVO C30",122,2011,10,"COMPACT_CARS"
"3533","VW BEETLE",115,2011,10,"COMPACT_CARS"
"3534","VW EOS",395,2011,10,"COMPACT_CARS"
"3535","VW GOLF, JETTA",21831,2011,10,"COMPACT_CARS"
"3536","OTHER_MODEL",6,2011,10,"COMPACT_CARS"
"3537","ZUSAMMEN",68859,2011,10,"COMPACT_CARS"
"3539","ALFA 159, BRERA, GTV, SPIDER",172,2011,10,"MIDSIZE_CARS"
"3540","ALPINA D3",8,2011,10,"MIDSIZE_CARS"
"3541","AUDI A4, S4",5279,2011,10,"MIDSIZE_CARS"
"3542","AUDI A5, S5, RS5",845,2011,10,"MIDSIZE_CARS"
"3543","BMW 3ER",4479,2011,10,"MIDSIZE_CARS"
"3544","CHRYSLER SARATOGA",0,2011,10,"MIDSIZE_CARS"
"3545","CITROEN C5",375,2011,10,"MIDSIZE_CARS"
"3546","CITROEN DS5",8,2011,10,"MIDSIZE_CARS"
"3547","DODGE AVENGER",0,2011,10,"MIDSIZE_CARS"
"3548","FIAT CROMA",0,2011,10,"MIDSIZE_CARS"
"3549","FORD MONDEO",1871,2011,10,"MIDSIZE_CARS"
"3550","HONDA ACCORD",175,2011,10,"MIDSIZE_CARS"
"3551","HYUNDAI COUPE",30,2011,10,"MIDSIZE_CARS"
"3552","HYUNDAI ELANTRA",9,2011,10,"MIDSIZE_CARS"
"3553","HYUNDAI I 40",230,2011,10,"MIDSIZE_CARS"
"3554","HYUNDAI SONATA",0,2011,10,"MIDSIZE_CARS"
"3555","INFINITI G37",4,2011,10,"MIDSIZE_CARS"
"3556","KIA MAGENTIS",0,2011,10,"MIDSIZE_CARS"
"3557","LEXUS IS",38,2011,10,"MIDSIZE_CARS"
"3558","MAZDA 6",384,2011,10,"MIDSIZE_CARS"
"3559","MERCEDES C-KLASSE",7446,2011,10,"MIDSIZE_CARS"
"3560","OPEL INSIGNIA",2151,2011,10,"MIDSIZE_CARS"
"3561","PEUGEOT 407",20,2011,10,"MIDSIZE_CARS"
"3562","PEUGEOT 508",809,2011,10,"MIDSIZE_CARS"
"3563","RENAULT LAGUNA",209,2011,10,"MIDSIZE_CARS"
"3564","SAAB 9-3",8,2011,10,"MIDSIZE_CARS"
"3565","SEAT EXEO",358,2011,10,"MIDSIZE_CARS"
"3566","SKODA SUPERB",1275,2011,10,"MIDSIZE_CARS"
"3567","SUBARU LEGACY",53,2011,10,"MIDSIZE_CARS"
"3568","SUZUKI KIZASHI",59,2011,10,"MIDSIZE_CARS"
"3569","TOYOTA AVENSIS, CARINA",1024,2011,10,"MIDSIZE_CARS"
"3570","VOLVO V50",286,2011,10,"MIDSIZE_CARS"
"3571","VOLVO 40",53,2011,10,"MIDSIZE_CARS"
"3572","VOLVO 60",771,2011,10,"MIDSIZE_CARS"
"3573","VW PASSAT",8568,2011,10,"MIDSIZE_CARS"
"3574","VW SCIROCCO",407,2011,10,"MIDSIZE_CARS"
"3575","OTHER_MODEL",2,2011,10,"MIDSIZE_CARS"
"3576","ZUSAMMEN",37406,2011,10,"MIDSIZE_CARS"
"3578","ALPINA B3",12,2011,10,"EXECUTIVE_CARS"
"3579","ALPINA B5",13,2011,10,"EXECUTIVE_CARS"
"3580","AUDI A6, S6, RS6, A7",3697,2011,10,"EXECUTIVE_CARS"
"3581","BMW 5ER",4780,2011,10,"EXECUTIVE_CARS"
"3582","CHRYSLER 300C",0,2011,10,"EXECUTIVE_CARS"
"3583","CITROEN C6",5,2011,10,"EXECUTIVE_CARS"
"3584","INFINITI M",9,2011,10,"EXECUTIVE_CARS"
"3585","JAGUAR XF",103,2011,10,"EXECUTIVE_CARS"
"3586","LANCIA THEMA",30,2011,10,"EXECUTIVE_CARS"
"3587","LEXUS GS",1,2011,10,"EXECUTIVE_CARS"
"3588","MERCEDES E-KLASSE",4388,2011,10,"EXECUTIVE_CARS"
"3589","RENAULT LATITUDE",13,2011,10,"EXECUTIVE_CARS"
"3590","SAAB 9-5",2,2011,10,"EXECUTIVE_CARS"
"3591","VOLVO 70",354,2011,10,"EXECUTIVE_CARS"
"3592","VOLVO 80",29,2011,10,"EXECUTIVE_CARS"
"3593","OTHER_MODEL",0,2011,10,"EXECUTIVE_CARS"
"3594","ZUSAMMEN",13436,2011,10,"EXECUTIVE_CARS"
"3596","ALPINA B7 BITURBO",0,2011,10,"LUXURY_VEHICLES"
"3597","AUDI A8, S8",455,2011,10,"LUXURY_VEHICLES"
"3598","BENTLEY CONTINENTAL",21,2011,10,"LUXURY_VEHICLES"
"3599","BENTLEY MULSANNE",1,2011,10,"LUXURY_VEHICLES"
"3600","BMW 6ER",184,2011,10,"LUXURY_VEHICLES"
"3601","BMW 7ER",343,2011,10,"LUXURY_VEHICLES"
"3602","GM CADILLAC CTS",3,2011,10,"LUXURY_VEHICLES"
"3603","JAGUAR XJ",28,2011,10,"LUXURY_VEHICLES"
"3604","LEXUS LS",2,2011,10,"LUXURY_VEHICLES"
"3605","MASERATI QUATTROPORTE",1,2011,10,"LUXURY_VEHICLES"
"3606","MAYBACH",0,2011,10,"LUXURY_VEHICLES"
"3607","MERCEDES CL-KLASSE",22,2011,10,"LUXURY_VEHICLES"
"3608","MERCEDES CLS",515,2011,10,"LUXURY_VEHICLES"
"3609","MERCEDES S-KLASSE",340,2011,10,"LUXURY_VEHICLES"
"3610","PORSCHE PANAMERA",391,2011,10,"LUXURY_VEHICLES"
"3611","ROLLS ROYCE GHOST",2,2011,10,"LUXURY_VEHICLES"
"3612","ROLLS-ROYCE PHANTOM",6,2011,10,"LUXURY_VEHICLES"
"3613","VW PHAETON",152,2011,10,"LUXURY_VEHICLES"
"3614","OTHER_MODEL",0,2011,10,"LUXURY_VEHICLES"
"3615","ZUSAMMEN",2466,2011,10,"LUXURY_VEHICLES"
"3617","AUDI Q3",642,2011,10,"OFFROAD_VEHICLE"
"3618","AUDI Q5",1491,2011,10,"OFFROAD_VEHICLE"
"3619","AUDI Q7",321,2011,10,"OFFROAD_VEHICLE"
"3620","BMW X1",3076,2011,10,"OFFROAD_VEHICLE"
"3621","BMW X3",2209,2011,10,"OFFROAD_VEHICLE"
"3622","BMW X5",752,2011,10,"OFFROAD_VEHICLE"
"3623","BMW X6",324,2011,10,"OFFROAD_VEHICLE"
"3624","CHEVROLET CAPTIVA",223,2011,10,"OFFROAD_VEHICLE"
"3625","CITROEN C-CROSSER",49,2011,10,"OFFROAD_VEHICLE"
"3626","DACIA DUSTER",2025,2011,10,"OFFROAD_VEHICLE"
"3627","DAIHATSU TERIOS",58,2011,10,"OFFROAD_VEHICLE"
"3628","DODGE NITRO",2,2011,10,"OFFROAD_VEHICLE"
"3629","FIAT SEDICI",204,2011,10,"OFFROAD_VEHICLE"
"3630","FORD KUGA",1413,2011,10,"OFFROAD_VEHICLE"
"3631","GM CADILLAC ESCALADE",9,2011,10,"OFFROAD_VEHICLE"
"3632","HONDA CR-V",606,2011,10,"OFFROAD_VEHICLE"
"3633","HYUNDAI IX 35",874,2011,10,"OFFROAD_VEHICLE"
"3634","HYUNDAI IX 55",25,2011,10,"OFFROAD_VEHICLE"
"3635","HYUNDAI SANTA FE",138,2011,10,"OFFROAD_VEHICLE"
"3636","INFINITI EX30D",4,2011,10,"OFFROAD_VEHICLE"
"3637","INFINITI EX37",0,2011,10,"OFFROAD_VEHICLE"
"3638","INFINITI FX",38,2011,10,"OFFROAD_VEHICLE"
"3639","JEEP CHEROKEE",3,2011,10,"OFFROAD_VEHICLE"
"3640","JEEP COMPASS",66,2011,10,"OFFROAD_VEHICLE"
"3641","JEEP GRAND CHEROKEE",240,2011,10,"OFFROAD_VEHICLE"
"3642","JEEP PATRIOT",2,2011,10,"OFFROAD_VEHICLE"
"3643","JEEP WRANGLER",70,2011,10,"OFFROAD_VEHICLE"
"3644","KIA SORENTO",313,2011,10,"OFFROAD_VEHICLE"
"3645","KIA SPORTAGE",753,2011,10,"OFFROAD_VEHICLE"
"3646","LADA NIVA",122,2011,10,"OFFROAD_VEHICLE"
"3647","LAND ROVER DEFENDER",1,2011,10,"OFFROAD_VEHICLE"
"3648","LAND ROVER DISCOVERY",83,2011,10,"OFFROAD_VEHICLE"
"3649","LAND ROVER FREELANDER",85,2011,10,"OFFROAD_VEHICLE"
"3650","LAND ROVER RANGE ROVER",29,2011,10,"OFFROAD_VEHICLE"
"3651","LAND ROVER RANGE ROVER EVO.",226,2011,10,"OFFROAD_VEHICLE"
"3652","LAND ROVER RANGE ROVER SPORT",152,2011,10,"OFFROAD_VEHICLE"
"3653","LEXUS RX",47,2011,10,"OFFROAD_VEHICLE"
"3654","MAZDA CX-7",212,2011,10,"OFFROAD_VEHICLE"
"3655","MAZDA CX-9",0,2011,10,"OFFROAD_VEHICLE"
"3656","MERCEDES G-KLASSE",87,2011,10,"OFFROAD_VEHICLE"
"3657","MERCEDES GL-KLASSE",85,2011,10,"OFFROAD_VEHICLE"
"3658","MERCEDES GLK",991,2011,10,"OFFROAD_VEHICLE"
"3659","MERCEDES ML-KLASSE",129,2011,10,"OFFROAD_VEHICLE"
"3660","MERCEDES R-KLASSE",178,2011,10,"OFFROAD_VEHICLE"
"3661","MITSUBISHI ASX",819,2011,10,"OFFROAD_VEHICLE"
"3662","MITSUBISHI L200",2,2011,10,"OFFROAD_VEHICLE"
"3663","MITSUBISHI OUTLANDER",324,2011,10,"OFFROAD_VEHICLE"
"3664","MITSUBISHI PAJERO, MONTERO",121,2011,10,"OFFROAD_VEHICLE"
"3665","NISSAN MURANO",23,2011,10,"OFFROAD_VEHICLE"
"3666","NISSAN PATHFINDER",44,2011,10,"OFFROAD_VEHICLE"
"3667","NISSAN X-TRAIL",147,2011,10,"OFFROAD_VEHICLE"
"3668","OPEL ANTARA",105,2011,10,"OFFROAD_VEHICLE"
"3669","PEUGEOT 4007",43,2011,10,"OFFROAD_VEHICLE"
"3670","PORSCHE CAYENNE",621,2011,10,"OFFROAD_VEHICLE"
"3671","RENAULT KOLEOS",198,2011,10,"OFFROAD_VEHICLE"
"3672","SKODA YETI",1962,2011,10,"OFFROAD_VEHICLE"
"3673","SSANGYONG KORANDO, ACTYON",28,2011,10,"OFFROAD_VEHICLE"
"3674","SSANGYONG REXTON",10,2011,10,"OFFROAD_VEHICLE"
"3675","SUBARU FORESTER",145,2011,10,"OFFROAD_VEHICLE"
"3676","SUZUKI GRAND VITARA",368,2011,10,"OFFROAD_VEHICLE"
"3677","SUZUKI JIMNY",239,2011,10,"OFFROAD_VEHICLE"
"3678","TOYOTA LANDCRUISER",100,2011,10,"OFFROAD_VEHICLE"
"3679","TOYOTA RAV 4",502,2011,10,"OFFROAD_VEHICLE"
"3680","VOLVO XC60",551,2011,10,"OFFROAD_VEHICLE"
"3681","VOLVO XC70",100,2011,10,"OFFROAD_VEHICLE"
"3682","VOLVO XC90",167,2011,10,"OFFROAD_VEHICLE"
"3683","VW TIGUAN",3585,2011,10,"OFFROAD_VEHICLE"
"3684","VW TOUAREG",1040,2011,10,"OFFROAD_VEHICLE"
"3685","OTHER_MODEL",4,2011,10,"OFFROAD_VEHICLE"
"3686","ZUSAMMEN",29605,2011,10,"OFFROAD_VEHICLE"
"3688","ALFA 8C COMPETIZIONE",1,2011,10,"SPORTS_CARS"
"3689","ASTON MARTIN DBS",3,2011,10,"SPORTS_CARS"
"3690","ASTON MARTIN DB9",3,2011,10,"SPORTS_CARS"
"3691","ASTON MARTIN RAPIDE",5,2011,10,"SPORTS_CARS"
"3692","ASTON MARTIN VIRAGE",3,2011,10,"SPORTS_CARS"
"3693","ASTON MARTIN V8",9,2011,10,"SPORTS_CARS"
"3694","ASTON MARTIN V12",2,2011,10,"SPORTS_CARS"
"3695","AUDI R8",31,2011,10,"SPORTS_CARS"
"3696","AUDI TT",316,2011,10,"SPORTS_CARS"
"3697","BMW Z4",175,2011,10,"SPORTS_CARS"
"3698","DODGE VIPER",0,2011,10,"SPORTS_CARS"
"3699","FERRARI CALIFORNIA",7,2011,10,"SPORTS_CARS"
"3700","FERRARI F 430",1,2011,10,"SPORTS_CARS"
"3701","FERRARI FF",13,2011,10,"SPORTS_CARS"
"3702","FERRARI 458",21,2011,10,"SPORTS_CARS"
"3703","FERRARI 599 GTB",0,2011,10,"SPORTS_CARS"
"3704","FERRARI 599 GTO",0,2011,10,"SPORTS_CARS"
"3705","FERRARI 612 SCAGLIETTI",0,2011,10,"SPORTS_CARS"
"3706","FORD MUSTANG",0,2011,10,"SPORTS_CARS"
"3707","GM CADILLAC XLR ROADSTER",0,2011,10,"SPORTS_CARS"
"3708","GM CAMARO",0,2011,10,"SPORTS_CARS"
"3709","GM CORVETTE",4,2011,10,"SPORTS_CARS"
"3710","HONDA CR-Z",97,2011,10,"SPORTS_CARS"
"3711","HYUNDAI VELOSTER",65,2011,10,"SPORTS_CARS"
"3712","JAGUAR XK",28,2011,10,"SPORTS_CARS"
"3713","LAMBORGHINI AVENTADOR",1,2011,10,"SPORTS_CARS"
"3714","LAMBORGHINI GALLARDO",5,2011,10,"SPORTS_CARS"
"3715","LAMBORGHINI MURCIELAGO",0,2011,10,"SPORTS_CARS"
"3716","LEXUS LFA",0,2011,10,"SPORTS_CARS"
"3717","LEXUS SC",1,2011,10,"SPORTS_CARS"
"3718","LOTUS ELISE",2,2011,10,"SPORTS_CARS"
"3719","LOTUS EUROPA",0,2011,10,"SPORTS_CARS"
"3720","LOTUS EVORA",0,2011,10,"SPORTS_CARS"
"3721","LOTUS EXIGE",0,2011,10,"SPORTS_CARS"
"3722","MASERATI GRANTURISMO",14,2011,10,"SPORTS_CARS"
"3723","MERCEDES CLK",0,2011,10,"SPORTS_CARS"
"3724","MERCEDES E-KLASSE COUPE",663,2011,10,"SPORTS_CARS"
"3725","MERCEDES SL",11,2011,10,"SPORTS_CARS"
"3726","MERCEDES SLK",629,2011,10,"SPORTS_CARS"
"3727","MERCEDES SLR",0,2011,10,"SPORTS_CARS"
"3728","MERCEDES SLS AMG",35,2011,10,"SPORTS_CARS"
"3729","MORGAN AERO 8",0,2011,10,"SPORTS_CARS"
"3730","MORGAN 4/4",4,2011,10,"SPORTS_CARS"
"3731","NISSAN GT-R",5,2011,10,"SPORTS_CARS"
"3732","NISSAN 350Z",0,2011,10,"SPORTS_CARS"
"3733","NISSAN 370Z",11,2011,10,"SPORTS_CARS"
"3734","OPEL GT",0,2011,10,"SPORTS_CARS"
"3735","PEUGEOT RCZ",196,2011,10,"SPORTS_CARS"
"3736","PORSCHE BOXSTER, CAYMAN",95,2011,10,"SPORTS_CARS"
"3737","PORSCHE 911",595,2011,10,"SPORTS_CARS"
"3738","WIESMANN GT",3,2011,10,"SPORTS_CARS"
"3739","WIESMANN ROADSTER",6,2011,10,"SPORTS_CARS"
"3740","OTHER_MODEL",0,2011,10,"SPORTS_CARS"
"3741","ZUSAMMEN",3060,2011,10,"SPORTS_CARS"
"3743","CHEVROLET REZZO",0,2011,10,"MINI_VANS"
"3744","FIAT MULTIPLA",0,2011,10,"MINI_VANS"
"3745","FORD FOCUS C-MAX",2937,2011,10,"MINI_VANS"
"3746","HYUNDAI IX 20",586,2011,10,"MINI_VANS"
"3747","KIA SOUL",85,2011,10,"MINI_VANS"
"3748","LANCIA MUSA",24,2011,10,"MINI_VANS"
"3749","MERCEDES B-KLASSE",870,2011,10,"MINI_VANS"
"3750","NISSAN CUBE",3,2011,10,"MINI_VANS"
"3751","NISSAN NOTE",354,2011,10,"MINI_VANS"
"3752","NISSAN QASHQAI",2066,2011,10,"MINI_VANS"
"3753","OPEL MERIVA",2772,2011,10,"MINI_VANS"
"3754","PEUGEOT 3008",710,2011,10,"MINI_VANS"
"3755","RENAULT MODUS",442,2011,10,"MINI_VANS"
"3756","RENAULT SCENIC",2021,2011,10,"MINI_VANS"
"3757","SEAT ALTEA, TOLEDO, LEON",1266,2011,10,"MINI_VANS"
"3758","SKODA ROOMSTER",1018,2011,10,"MINI_VANS"
"3759","SUBARU TREZIA",28,2011,10,"MINI_VANS"
"3760","TOYOTA URBAN CRUISER",14,2011,10,"MINI_VANS"
"3761","TOYOTA VERSO-S",806,2011,10,"MINI_VANS"
"3762","OTHER_MODEL",0,2011,10,"MINI_VANS"
"3763","ZUSAMMEN",16002,2011,10,"MINI_VANS"
"3765","CHEVROLET ORLANDO",371,2011,10,"LARGE_VANS"
"3766","CHRYSLER VOYAGER",1,2011,10,"LARGE_VANS"
"3767","CITROEN C8",46,2011,10,"LARGE_VANS"
"3768","DODGE JOURNEY",0,2011,10,"LARGE_VANS"
"3769","FIAT FREEMONT",113,2011,10,"LARGE_VANS"
"3770","FIAT ULYSSE, SCUDO",41,2011,10,"LARGE_VANS"
"3771","FORD GALAXY",692,2011,10,"LARGE_VANS"
"3772","FORD S-MAX",1356,2011,10,"LARGE_VANS"
"3773","KIA CARENS",56,2011,10,"LARGE_VANS"
"3774","LANCIA VOYAGER",16,2011,10,"LARGE_VANS"
"3775","MAZDA 5",554,2011,10,"LARGE_VANS"
"3776","MERCEDES VIANO",892,2011,10,"LARGE_VANS"
"3777","OPEL ZAFIRA",1386,2011,10,"LARGE_VANS"
"3778","PEUGEOT 807",66,2011,10,"LARGE_VANS"
"3779","PEUGEOT 5008",441,2011,10,"LARGE_VANS"
"3780","RENAULT ESPACE",63,2011,10,"LARGE_VANS"
"3781","SEAT ALHAMBRA",451,2011,10,"LARGE_VANS"
"3782","VW SHARAN",1722,2011,10,"LARGE_VANS"
"3783","VW TOURAN",4767,2011,10,"LARGE_VANS"
"3784","OTHER_MODEL",6,2011,10,"LARGE_VANS"
"3785","ZUSAMMEN",13040,2011,10,"LARGE_VANS"
"3787","CITROEN BERLINGO",911,2011,10,"UTILITIES"
"3788","CITROEN JUMPER",9,2011,10,"UTILITIES"
"3789","CITROEN JUMPY",87,2011,10,"UTILITIES"
"3790","CITROEN NEMO",21,2011,10,"UTILITIES"
"3791","FIAT DOBLO",152,2011,10,"UTILITIES"
"3792","FIAT DUCATO",51,2011,10,"UTILITIES"
"3793","FIAT FIORINO",109,2011,10,"UTILITIES"
"3794","FORD TRANSIT CONNECT",7,2011,10,"UTILITIES"
"3795","FORD TRANSIT, TOURNEO",587,2011,10,"UTILITIES"
"3796","HYUNDAI H-1 STAREX",54,2011,10,"UTILITIES"
"3797","MERCEDES SPRINTER",253,2011,10,"UTILITIES"
"3798","MERCEDES VITO",391,2011,10,"UTILITIES"
"3799","NISSAN NAVARA",0,2011,10,"UTILITIES"
"3800","NISSAN NV200",118,2011,10,"UTILITIES"
"3801","NISSAN PRIMASTAR",7,2011,10,"UTILITIES"
"3802","OPEL COMBO",13,2011,10,"UTILITIES"
"3803","OPEL MOVANO",15,2011,10,"UTILITIES"
"3804","OPEL VIVARO",235,2011,10,"UTILITIES"
"3805","PEUGEOT BIPPER",16,2011,10,"UTILITIES"
"3806","PEUGEOT BOXER",23,2011,10,"UTILITIES"
"3807","PEUGEOT EXPERT",43,2011,10,"UTILITIES"
"3808","PEUGEOT PARTNER",382,2011,10,"UTILITIES"
"3809","RENAULT KANGOO",492,2011,10,"UTILITIES"
"3810","RENAULT MASTER, NISSAN INTERSTAR",29,2011,10,"UTILITIES"
"3811","RENAULT TRAFIC",193,2011,10,"UTILITIES"
"3812","TOYOTA HIACE",1,2011,10,"UTILITIES"
"3813","VW CADDY",2696,2011,10,"UTILITIES"
"3814","VW CRAFTER",74,2011,10,"UTILITIES"
"3815","VW TRANSPORTER, CARAVELLE",2112,2011,10,"UTILITIES"
"3816","OTHER_MODEL",4,2011,10,"UTILITIES"
"3817","ZUSAMMEN",9085,2011,10,"UTILITIES"
"3819","CITROEN JUMPER",11,2011,10,"RVs"
"3820","FIAT DUCATO",557,2011,10,"RVs"
"3821","FORD TRANSIT, TOURNEO",216,2011,10,"RVs"
"3822","IVECO DAILY",21,2011,10,"RVs"
"3823","IVECO EUROCARGO",2,2011,10,"RVs"
"3824","MERCEDES SPRINTER",26,2011,10,"RVs"
"3825","MERCEDES VIANO",26,2011,10,"RVs"
"3826","PEUGEOT BOXER",6,2011,10,"RVs"
"3827","RENAULT MASTER, NISSAN INTERSTAR",1,2011,10,"RVs"
"3828","VW TRANSPORTER, CARAVELLE",86,2011,10,"RVs"
"3829","OTHER_MODEL",66,2011,10,"RVs"
"3830","ZUSAMMEN",1018,2011,10,"RVs"
"3832","ASTON MARTIN CYGNET",2,2011,11,"MINIS"
"3833","CHEVROLET MATIZ",0,2011,11,"MINIS"
"3834","CHEVROLET SPARK",406,2011,11,"MINIS"
"3835","CITROEN C-ZERO",6,2011,11,"MINIS"
"3836","CITROEN C1",721,2011,11,"MINIS"
"3837","DAIHATSU CUORE",53,2011,11,"MINIS"
"3838","FIAT PANDA",933,2011,11,"MINIS"
"3839","FIAT 500",1033,2011,11,"MINIS"
"3840","FORD KA",793,2011,11,"MINIS"
"3841","HYUNDAI I 10",335,2011,11,"MINIS"
"3842","LANCIA YPSILON",169,2011,11,"MINIS"
"3843","MITSUBISHI I-MIEV",21,2011,11,"MINIS"
"3844","NISSAN PIXO",177,2011,11,"MINIS"
"3845","OPEL AGILA",332,2011,11,"MINIS"
"3846","PEUGEOT ION",20,2011,11,"MINIS"
"3847","PEUGEOT 107",292,2011,11,"MINIS"
"3848","RENAULT TWINGO",2784,2011,11,"MINIS"
"3849","SMART FORTWO",2501,2011,11,"MINIS"
"3850","SUZUKI ALTO",188,2011,11,"MINIS"
"3851","SUZUKI SPLASH",267,2011,11,"MINIS"
"3852","TOYOTA AYGO",874,2011,11,"MINIS"
"3853","TOYOTA IQ",113,2011,11,"MINIS"
"3854","VW FOX",153,2011,11,"MINIS"
"3855","VW UP",409,2011,11,"MINIS"
"3856","OTHER_MODEL",4,2011,11,"MINIS"
"3857","ZUSAMMEN",12586,2011,11,"MINIS"
"3859","ALFA MITO",150,2011,11,"SMALL_CARS"
"3860","AUDI A1, S1",3971,2011,11,"SMALL_CARS"
"3861","BMW MINI",3240,2011,11,"SMALL_CARS"
"3862","CHEVROLET KALOS, AVEO",596,2011,11,"SMALL_CARS"
"3863","CITROEN C2",0,2011,11,"SMALL_CARS"
"3864","CITROEN C3",790,2011,11,"SMALL_CARS"
"3865","CITROEN DS3",512,2011,11,"SMALL_CARS"
"3866","DAIHATSU COPEN",2,2011,11,"SMALL_CARS"
"3867","DAIHATSU MATERIA",33,2011,11,"SMALL_CARS"
"3868","DAIHATSU SIRION",87,2011,11,"SMALL_CARS"
"3869","FIAT PUNTO",1679,2011,11,"SMALL_CARS"
"3870","FORD FIESTA",4791,2011,11,"SMALL_CARS"
